City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Hobart,AU,62.6,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
6,Bowen,AU,68.0,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
7,Hilo,US,73.99,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
8,Butaritari,KI,81.19,light rain,3.0707,172.7902,Isles Sunset Lodge
13,Mitsamiouli,KM,82.42,light rain,-11.3847,43.2844,Foyer ADM
14,Chabahar,IR,80.46,clear sky,25.2919,60.643,هتل گدروشیا
15,Castro,BR,72.03,clear sky,-24.7911,-50.0119,CHACARA BAILLY
16,New Norfolk,AU,62.6,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
19,Kaoma,ZM,70.63,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
20,Birjand,IR,62.6,clear sky,32.8663,59.2211,Birjand Tourist Hotel
23,Rikitea,PF,77.04,light rain,-23.1203,-134.9692,Pension Maro'i
25,Tuy Hoa,VN,75.99,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
27,Port Alfred,ZA,63.5,broken clouds,-33.5906,26.891,The Halyards Hotel
32,Mar Del Plata,AR,68.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
34,Bani Walid,LY,72.34,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
35,Pringsewu,ID,73.65,very heavy rain,-5.3582,104.9744,Urban Style by Front One
40,Cairns,AU,75.2,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
41,Auki,SB,77.11,overcast clouds,-8.7676,160.7034,Auki Motel
42,Rovereto,IT,62.01,broken clouds,45.8896,11.0387,Hotel Leon D'Oro
43,Bryan,US,68.0,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
44,Umm Lajj,SA,69.55,clear sky,25.0213,37.2685,Moon light Furnished Units
45,Hermanus,ZA,61.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
46,Clearwater,US,70.0,clear sky,27.9659,-82.8001,Shephard's Beach Resort
47,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
48,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,San Quintin,MX,65.71,clear sky,30.4833,-115.95,Old Mill Hotel
53,Busselton,AU,62.01,overcast clouds,-33.65,115.3333,Observatory Guest House
54,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
59,Jaisalmer,IN,84.81,clear sky,26.9147,70.9181,Hotel Fifu
62,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Khash,IR,68.74,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
65,Mazagao,BR,89.6,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
66,Pisco,PE,75.99,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
68,Lagoa,PT,60.64,overcast clouds,39.05,-27.9833,Casa Das Faias
69,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
73,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
74,Vaini,TO,73.4,light rain,-21.2,-175.2,Keleti Beach Resort
77,Atuona,PF,80.65,scattered clouds,-9.8,-139.0333,Villa Enata
79,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
84,Sanchor,IN,78.85,clear sky,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
88,Alto Araguaia,BR,86.16,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
91,Sidney,AU,62.6,few clouds,-33.8679,151.2073,The Grace Sydney
92,East London,ZA,60.8,light rain,-33.0153,27.9116,Tu Casa
93,Airai,TL,60.69,light rain,-8.9266,125.4092,Juvinal Martin
94,Mongu,ZM,75.92,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
95,Hithadhoo,MV,83.57,broken clouds,-0.6,73.0833,Scoop Guest House
97,Riverton,US,69.01,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
99,Phuket,TH,86.0,broken clouds,8.0,98.25,The Surin Phuket
101,San Jose,US,68.0,scattered clouds,37.3394,-121.895,The Westin San Jose
102,Chino Valley,US,75.0,broken clouds,34.7575,-112.4538,Primrose Inn & Suites
104,Poum,NC,78.19,light rain,-20.2333,164.0167,Gîte kajeon
106,Kahului,US,73.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
107,Chuy,UY,71.78,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
108,Nabire,ID,75.76,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
111,Lasa,IT,73.4,clear sky,46.6166,10.7002,Pension Feldgärtenhof
112,Cape Town,ZA,64.99,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
114,Saldanha,ZA,66.2,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
118,Yulara,AU,69.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
119,Hobyo,SO,82.74,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
120,Georgetown,MY,84.2,few clouds,5.4112,100.3354,Cititel Penang
122,Puerto Madryn,AR,73.96,broken clouds,-42.7692,-65.0385,Hotel Tolosa
123,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
124,Pochutla,MX,93.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
125,Quatre Cocos,MU,78.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
127,Port Lincoln,AU,69.62,clear sky,-34.7333,135.8667,Port Lincoln Hotel
128,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
129,Bosaso,SO,80.1,clear sky,11.2842,49.1816,Red Sea Hotel
130,Fukue,JP,64.31,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
132,Bandarbeyla,SO,78.98,clear sky,9.4942,50.8122,JABIR HOTEL
133,Nouakchott,MR,80.6,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
136,Lazaro Cardenas,MX,87.64,clear sky,17.9583,-102.2,Hotel Quinta Antigua
138,Rocha,UY,71.28,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
139,Rosarito,MX,69.8,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
140,Alta Floresta,BR,83.1,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
142,Ahipara,NZ,62.4,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
144,Muros,ES,61.0,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
147,Kabompo,ZM,65.82,scattered clouds,-13.5927,24.2008,Big Tree
148,Coahuayana,MX,89.6,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
150,Sechura,PE,82.29,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
153,Mackay,AU,69.8,overcast clouds,-21.15,149.2,International Lodge Motel
154,Tanete,ID,74.39,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
155,Cidreira,BR,69.1,overcast clouds,-30.1811,-50.2056,Hotel Castelo
156,Sinnamary,GF,75.16,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
160,Grand-Lahou,CI,80.31,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
162,Miami,US,78.01,broken clouds,25.7743,-80.1937,Miami Sun Hotel
163,Aswan,EG,67.21,clear sky,24.0934,32.907,Nuba Nile
164,Ruteng,ID,62.71,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
173,Sakakah,SA,64.4,dust,29.9697,40.2064,Fakhamat Al Orjoana Apartment
174,Uyuni,BO,60.46,overcast clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
178,Alofi,NU,69.8,scattered clouds,-19.0595,-169.9187,Taloa Heights
180,Camacha,PT,62.6,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
181,Lamar,US,64.0,clear sky,33.6668,-95.5836,Kings Inn Paris TX
183,Esperance,AU,64.4,overcast clouds,-33.8667,121.9,Hospitality Esperance
184,Takoradi,GH,80.96,scattered clouds,4.8845,-1.7554,Raybow International Hotel
185,Champerico,GT,93.2,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
187,Gumla,IN,73.22,clear sky,23.05,84.55,Hotel Bindesh - Chulhani - Best Hotel and Restaurant in Gumla
188,Sao Filipe,CV,75.54,clear sky,14.8961,-24.4956,Tortuga B&B
190,Ancud,CL,62.01,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
194,Kapoeta,SS,84.06,broken clouds,4.7717,33.5903,Eastgate Hotel
197,Coquimbo,CL,64.4,few clouds,-29.9533,-71.3436,Punto de encuentro
198,Najran,SA,80.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
199,Chiredzi,ZW,70.11,clear sky,-21.05,31.6667,The Nesbitt Arms
201,Padang,ID,78.8,overcast clouds,-0.9492,100.3543,Mercure Padang
202,Nguru,NG,81.84,clear sky,12.8791,10.4526,Government Lodge
204,Nago,JP,69.8,mist,26.5881,127.9761,Hotel Yugaf Inn Okinawa
205,Fare,PF,81.52,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
208,Black River,JM,82.99,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
209,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
212,Salta,AR,69.8,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
213,Bouna,CI,89.37,few clouds,9.2667,-3.0,Hotel Reserve
215,Dodoma,TZ,73.4,few clouds,-6.1722,35.7395,Royal Village Hotel
216,Sucre,BO,62.22,broken clouds,-19.0333,-65.2627,Hotel Premier
218,Basco,PH,79.45,broken clouds,20.4487,121.9702,Nathaniel's Lodge
219,Vila Franca Do Campo,PT,62.6,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
222,Curuca,BR,82.38,scattered clouds,-0.7289,-47.8481,Hotel Curuça
226,Lavumisa,SZ,70.18,clear sky,-27.31,31.892,ROADSIDE B&B
228,Awbari,LY,71.17,clear sky,26.5921,12.7805,فندق أوباري
231,Ponta Delgada,PT,62.6,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
233,Det Udom,TH,84.99,few clouds,14.905999999999999,105.0784,Chatsuda Resort
234,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
235,Yala,TH,76.39,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
239,Mumford,GH,80.55,broken clouds,5.2618,-0.759,Spanish Villa
240,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
241,Misratah,LY,65.89,clear sky,32.3754,15.0925,فندق الماسة
243,Morrope,PE,88.0,clear sky,-6.5417,-80.0111,Hipolito santamaria
245,Glendive,US,68.0,clear sky,47.1053,-104.7125,Baymont by Wyndham Glendive
246,Kavieng,PG,81.77,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
248,Saint George,US,77.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
251,Luanda,AO,84.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
253,Iglesias,IT,61.0,scattered clouds,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia sud-ovest, trekkink climbing Masua"
254,Sabang,ID,83.05,overcast clouds,5.8933,95.3214,Hotel Citra
256,Fernley,US,66.0,clear sky,39.608000000000004,-119.2518,Super 8 by Wyndham Fernley
257,Saint-Pierre,RE,77.0,light rain,-21.3393,55.4781,Lindsey Hôtel
259,Rawson,AR,75.02,light rain,-43.3002,-65.1023,Hosteria Sampedro
261,Guiratinga,BR,86.99,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
265,Cabedelo,BR,87.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
266,Kinablangan,PH,77.99,moderate rain,7.6947,126.5503,Danny Moreno Property
267,Laguna,US,75.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
273,Grand Gaube,MU,78.01,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
274,Namibe,AO,78.78,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
275,Waddan,LY,70.32,clear sky,29.1614,16.139,محل الشريف محمد العايب
276,Mount Gambier,AU,60.8,clear sky,-37.8333,140.7667,Commodore on the Park
277,Nkongsamba,CM,72.55,broken clouds,4.9547,9.9404,Hotel Yodi Chute D' Ekom Nkan
278,Namatanai,PG,80.51,overcast clouds,-3.6667,152.4333,Namatanai Hotel
279,Kishi,NG,85.69,clear sky,9.0833,3.85,NCCF Kishi
281,Dingle,PH,75.15,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
282,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
284,Manali,IN,84.2,mist,13.1667,80.2667,Sarathy Lodge
285,Tura,IN,71.28,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
288,Victoria,HK,77.0,clear sky,22.2855,114.1577,Mini Hotel Central
290,Mount Isa,AU,71.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
291,Buala,SB,80.01,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
292,Esna,EG,68.0,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
293,Ponta Do Sol,PT,64.4,scattered clouds,32.6667,-17.1,Hotel do Campo
294,Villazon,BO,62.74,broken clouds,-22.0866,-65.5942,La Candelaria
298,Tucumcari,US,66.2,clear sky,35.1717,-103.725,Holiday Inn Express & Suites Tucumcari
299,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
306,Scottsbluff,US,73.4,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
307,Phibun Mangsahan,TH,78.8,few clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
309,Yaguajay,CU,78.73,light rain,22.3272,-79.2378,Hostal La Terraza
310,Ozieri,IT,64.4,clear sky,40.586,9.0012,B&B Santu Larentu
311,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
313,Codrington,AU,65.82,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
318,Lorengau,PG,81.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
319,Madang,PG,75.87,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
321,Morant Bay,JM,84.2,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
322,Godda,IN,76.46,clear sky,24.8333,87.2167,HOTEL TUSH TAYA RESIDENCY
326,Lubumbashi,CD,62.85,clear sky,-11.6609,27.4794,Glo Flats
327,Vila Velha,BR,80.6,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
328,Tucuman,AR,78.8,broken clouds,-26.8241,-65.2226,HOTEL MIAMI
330,Mahina,PF,84.2,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
331,Comodoro Rivadavia,AR,66.2,scattered clouds,-45.8667,-67.5,Austral Hotel
332,Idanre,NG,81.25,broken clouds,7.1127,5.1159,Rock valley hotel
336,Faanui,PF,81.43,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
338,Magan,ES,61.0,broken clouds,39.9683,-3.931,Hotel Pattaya
340,Port Elizabeth,ZA,62.6,clear sky,-33.918,25.5701,39 On Nile Guest House
341,Crib Point,AU,66.99,clear sky,-38.35,145.2,Erawan Bed & Breakfast
342,Charagua,BO,69.8,overcast clouds,-19.8,-63.2167,Residencial Luismar
343,Broken Hill,AU,64.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
346,Jabinyanah,TN,82.4,few clouds,35.035,10.9081,maison belmabrouk
348,Lakes Entrance,AU,61.36,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
351,Bahile,PH,80.6,scattered clouds,9.9995,118.7878,Hillside Resort Palawan
