City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gravdal,NO,68.1214,13.5031,33.8,80,75,19.57,sleet
1,Bethel,US,41.3712,-73.414,33.8,34,90,10.36,overcast clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,4.61,broken clouds
3,Ushuaia,AR,-54.8,-68.3,51.8,62,40,18.41,scattered clouds
4,Chokurdakh,RU,70.6333,147.9167,-21.15,100,93,3.53,overcast clouds
5,Hobart,AU,-42.8794,147.3294,62.6,63,0,13.8,clear sky
6,Bowen,AU,-20.0167,148.2333,68.0,88,40,8.05,light rain
7,Hilo,US,19.7297,-155.09,73.99,68,1,4.61,clear sky
8,Butaritari,KI,3.0707,172.7902,81.19,81,44,16.51,light rain
9,Fairbanks,US,64.8378,-147.7164,3.99,71,75,1.99,broken clouds
10,Barrow,US,71.2906,-156.7887,-20.2,76,90,5.75,overcast clouds
11,Qaanaaq,GL,77.484,-69.3632,-14.62,71,100,13.78,overcast clouds
12,Novyy Urengoy,RU,66.0833,76.6333,24.4,97,100,6.17,overcast clouds
13,Mitsamiouli,KM,-11.3847,43.2844,82.42,77,27,10.47,light rain
14,Chabahar,IR,25.2919,60.643,80.46,60,0,9.35,clear sky
15,Castro,BR,-24.7911,-50.0119,72.03,47,1,2.37,clear sky
16,New Norfolk,AU,-42.7826,147.0587,62.6,59,0,13.8,clear sky
17,Avera,US,33.194,-82.5271,53.6,28,1,10.36,clear sky
18,Karacakoy,TR,41.4029,28.3834,53.01,81,0,3.44,clear sky
19,Kaoma,ZM,-14.7833,24.8,70.63,69,97,4.7,overcast clouds
20,Birjand,IR,32.8663,59.2211,62.6,14,0,9.22,clear sky
21,Bredasdorp,ZA,-34.5322,20.0403,53.6,82,27,3.44,scattered clouds
22,Searcy,US,35.2506,-91.7363,55.0,44,1,8.05,clear sky
23,Rikitea,PF,-23.1203,-134.9692,77.04,79,98,10.6,light rain
24,Livingston,GB,55.9029,-3.5226,48.2,66,90,2.3,overcast clouds
25,Tuy Hoa,VN,13.0833,109.3,75.99,94,89,1.77,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,50.0,62,0,11.5,clear sky
27,Port Alfred,ZA,-33.5906,26.891,63.5,79,80,14.14,broken clouds
28,Nikolskoye,RU,59.7035,30.7861,36.0,86,0,4.47,clear sky
29,Baruun-Urt,MN,46.6806,113.2792,25.9,46,2,2.42,clear sky
30,Henties Bay,NA,-22.116,14.2845,66.51,77,0,9.46,clear sky
31,Tiksi,RU,71.6872,128.8694,-16.94,100,100,7.54,overcast clouds
32,Mar Del Plata,AR,-38.0023,-57.5575,68.0,73,75,11.5,broken clouds
33,Deputatskiy,RU,69.3,139.9,-15.41,100,100,0.67,overcast clouds
34,Bani Walid,LY,31.7566,13.9942,72.34,22,0,7.29,clear sky
35,Pringsewu,ID,-5.3582,104.9744,73.65,95,95,1.12,very heavy rain
36,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.6,59,6,15.66,clear sky
37,Spasskoye,RU,44.6108,132.7969,43.92,60,100,13.87,light rain
38,Ilulissat,GL,69.2167,-51.1,10.4,61,40,6.91,scattered clouds
39,Norman Wells,CA,65.282,-126.8329,-0.4,78,90,6.91,light snow
40,Cairns,AU,-16.9167,145.7667,75.2,83,75,12.66,broken clouds
41,Auki,SB,-8.7676,160.7034,77.11,85,90,3.96,overcast clouds
42,Rovereto,IT,45.8896,11.0387,62.01,60,75,9.22,broken clouds
43,Bryan,US,30.6744,-96.37,68.0,27,1,10.36,clear sky
44,Umm Lajj,SA,25.0213,37.2685,69.55,45,0,13.94,clear sky
45,Hermanus,ZA,-34.4187,19.2345,61.0,75,69,1.99,broken clouds
46,Clearwater,US,27.9659,-82.8001,70.0,30,1,9.22,clear sky
47,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,21.85,broken clouds
48,Mahebourg,MU,-20.4081,57.7,77.0,94,75,5.75,light rain
49,San Quintin,MX,30.4833,-115.95,65.71,61,0,9.01,clear sky
50,Aberdeen,GB,57.1437,-2.0981,44.6,70,5,11.5,clear sky
51,Moyeuvre-Grande,FR,49.2517,6.0475,48.0,58,0,5.01,clear sky
52,Tasiilaq,GL,65.6145,-37.6368,30.2,93,90,8.05,overcast clouds
53,Busselton,AU,-33.65,115.3333,62.01,84,100,1.01,overcast clouds
54,Puerto Ayora,EC,-0.7393,-90.3518,82.4,78,20,11.5,light rain
55,Avarua,CK,-21.2078,-159.775,80.6,78,20,9.22,few clouds
56,Talnakh,RU,69.4865,88.3972,-15.72,84,18,5.97,few clouds
57,Mnogovershinnyy,RU,53.9353,139.9242,28.81,97,100,3.8,light snow
58,Mafinga,TZ,-7.25,35.0667,67.12,85,100,2.64,overcast clouds
59,Jaisalmer,IN,26.9147,70.9181,84.81,7,0,7.05,clear sky
60,Northam,GB,51.0333,-4.2167,48.99,67,4,5.01,clear sky
61,Skjervoy,NO,70.0311,20.9714,37.98,88,100,24.25,overcast clouds
62,Saint-Philippe,RE,-21.3585,55.7679,77.0,88,75,19.57,light rain
63,Khash,IR,28.2211,61.2158,68.74,16,0,2.59,clear sky
64,Shache,CN,38.4167,77.2406,42.3,58,40,4.34,scattered clouds
65,Mazagao,BR,-0.115,-51.2894,89.6,74,40,6.91,scattered clouds
66,Pisco,PE,-13.7,-76.2167,75.99,64,0,8.05,clear sky
67,Saskylakh,RU,71.9167,114.0833,-38.15,100,60,2.95,broken clouds
68,Lagoa,PT,39.05,-27.9833,60.64,81,100,21.88,overcast clouds
69,San Cristobal,VE,7.7669,-72.225,86.0,51,40,18.41,scattered clouds
70,Webuye,KE,0.6075,34.7697,59.0,100,75,3.44,light rain
71,Izhma,RU,65.0083,53.9113,22.87,96,35,3.8,scattered clouds
72,Goderich,CA,43.7501,-81.7165,33.8,44,3,13.8,clear sky
73,Geraldton,AU,-28.7667,114.6,73.4,88,90,9.22,overcast clouds
74,Vaini,TO,-21.2,-175.2,73.4,100,75,2.3,light rain
75,Grindavik,IS,63.8424,-22.4338,41.0,81,90,16.11,overcast clouds
76,Hasaki,JP,35.7333,140.8333,53.6,76,40,6.91,scattered clouds
77,Atuona,PF,-9.8,-139.0333,80.65,79,27,14.23,scattered clouds
78,Astoria,US,46.1879,-123.8313,50.0,81,40,6.91,scattered clouds
79,Carnarvon,AU,-24.8667,113.6333,78.8,89,40,11.5,scattered clouds
80,Yellowknife,CA,62.456,-114.3525,9.0,78,90,6.91,light snow
81,Ayan,RU,56.45,138.1667,26.51,96,100,15.55,snow
82,Komsomolskiy,UZ,40.4272,71.7189,44.6,29,0,9.22,clear sky
83,Yar-Sale,RU,66.8333,70.8333,29.68,96,100,5.86,overcast clouds
84,Sanchor,IN,24.7553,71.7722,78.85,11,0,7.02,clear sky
85,Chegdomyn,RU,51.1167,133.0167,33.03,82,100,12.77,light snow
86,Joita,RO,44.4942,25.8539,54.0,82,0,10.36,clear sky
87,Kalmar,SE,56.6616,16.3616,42.01,81,100,1.01,overcast clouds
88,Alto Araguaia,BR,-17.3147,-53.2153,86.16,46,78,2.44,broken clouds
89,Egvekinot,RU,66.3167,-179.1667,-3.32,81,98,18.16,overcast clouds
90,Hofn,IS,64.2539,-15.2082,45.59,64,1,9.66,clear sky
91,Sidney,AU,-33.8679,151.2073,62.6,94,20,6.91,few clouds
92,East London,ZA,-33.0153,27.9116,60.8,94,90,11.5,light rain
93,Airai,TL,-8.9266,125.4092,60.69,97,100,3.29,light rain
94,Mongu,ZM,-15.2484,23.1274,75.92,52,100,3.38,overcast clouds
95,Hithadhoo,MV,-0.6,73.0833,83.57,75,62,19.91,broken clouds
96,Bluff,NZ,-46.6,168.3333,44.01,87,69,4.0,broken clouds
97,Riverton,US,40.5219,-111.9391,69.01,32,1,4.38,clear sky
98,Asau,RO,46.4333,26.4,41.0,65,100,5.01,light rain
99,Phuket,TH,8.0,98.25,86.0,89,75,2.3,broken clouds
100,Kenora,CA,49.8167,-94.4337,46.4,36,90,19.57,overcast clouds
101,San Jose,US,37.3394,-121.895,68.0,59,40,8.05,scattered clouds
102,Chino Valley,US,34.7575,-112.4538,75.0,22,75,5.75,broken clouds
103,Albany,US,42.6001,-73.9662,35.01,38,100,1.01,overcast clouds
104,Poum,NC,-20.2333,164.0167,78.19,86,100,12.82,light rain
105,Ketchikan,US,55.3422,-131.6461,37.44,98,100,13.33,moderate rain
106,Kahului,US,20.8947,-156.47,73.4,83,40,11.5,scattered clouds
107,Chuy,UY,-33.6971,-53.4616,71.78,56,22,10.87,few clouds
108,Nabire,ID,-3.3667,135.4833,75.76,93,100,2.26,overcast clouds
109,Karasburg,NA,-28.0167,18.75,77.88,15,0,12.68,clear sky
110,Mataura,NZ,-46.1927,168.8643,44.01,87,44,4.0,scattered clouds
111,Lasa,IT,46.6166,10.7002,73.4,50,0,2.3,clear sky
112,Cape Town,ZA,-33.9258,18.4232,64.99,68,0,8.05,clear sky
113,Petropavl,KZ,54.8753,69.1628,28.22,86,96,14.5,overcast clouds
114,Saldanha,ZA,-33.0117,17.9442,66.2,59,29,8.05,scattered clouds
115,Cherskiy,RU,68.75,161.3,-15.61,91,100,7.29,overcast clouds
116,Beloha,MG,-25.1667,45.05,72.01,77,67,10.78,broken clouds
117,Dunedin,NZ,-45.8742,170.5036,48.99,76,17,1.99,few clouds
118,Yulara,AU,-25.2406,130.9889,69.8,40,0,8.05,clear sky
119,Hobyo,SO,5.3505,48.5268,82.74,74,0,12.55,clear sky
120,Georgetown,MY,5.4112,100.3354,84.2,89,20,3.44,few clouds
121,Opuwo,NA,-18.0607,13.84,75.06,60,100,8.5,overcast clouds
122,Puerto Madryn,AR,-42.7692,-65.0385,73.96,47,60,19.08,broken clouds
123,Kapaa,US,22.0752,-159.319,75.2,69,20,10.36,light rain
124,Pochutla,MX,15.7432,-96.4661,93.0,52,1,11.5,clear sky
125,Quatre Cocos,MU,-20.2078,57.7625,78.01,94,75,5.75,light rain
126,Loten,NO,60.8171,11.3376,37.99,52,93,5.01,overcast clouds
127,Port Lincoln,AU,-34.7333,135.8667,69.62,48,0,7.7,clear sky
128,Bambous Virieux,MU,-20.3428,57.7575,78.01,94,75,5.75,light rain
129,Bosaso,SO,11.2842,49.1816,80.1,67,5,2.89,clear sky
130,Fukue,JP,32.6881,128.8419,64.31,86,100,16.91,overcast clouds
131,Lofthus,NO,59.9468,10.8018,39.99,44,0,6.91,clear sky
132,Bandarbeyla,SO,9.4942,50.8122,78.98,73,6,3.98,clear sky
133,Nouakchott,MR,18.0858,-15.9785,80.6,47,83,18.41,broken clouds
134,Hamilton,US,39.1834,-84.5333,46.99,31,1,5.75,clear sky
135,Zaqatala,AZ,41.6336,46.6433,53.6,58,40,4.61,scattered clouds
136,Lazaro Cardenas,MX,17.9583,-102.2,87.64,46,0,13.38,clear sky
137,Sitka,US,57.0531,-135.33,33.8,100,90,8.05,light snow
138,Rocha,UY,-34.4833,-54.3333,71.28,62,43,10.16,scattered clouds
139,Rosarito,MX,32.3333,-117.0333,69.8,59,1,5.75,clear sky
140,Alta Floresta,BR,-9.8756,-56.0861,83.1,75,46,3.53,scattered clouds
141,Rincon,US,32.296,-81.2354,55.4,28,20,16.11,few clouds
142,Ahipara,NZ,-35.1667,173.1667,62.4,86,31,9.86,scattered clouds
143,Katsuura,JP,35.1333,140.3,59.0,72,75,8.05,broken clouds
144,Muros,ES,42.7762,-9.0603,61.0,91,99,1.01,overcast clouds
145,Husavik,IS,66.0449,-17.3389,46.4,49,0,32.21,clear sky
146,Plyussa,RU,58.4308,29.3654,34.07,94,100,3.38,light snow
147,Kabompo,ZM,-13.5927,24.2008,65.82,76,47,5.19,scattered clouds
148,Coahuayana,MX,18.7333,-103.6833,89.6,35,40,6.91,scattered clouds
149,Floro,NO,61.5996,5.0328,41.0,52,40,14.97,scattered clouds
150,Sechura,PE,-5.5569,-80.8222,82.29,56,19,11.5,few clouds
151,Nuuk,GL,64.1835,-51.7216,17.6,93,75,10.36,snow
152,Aklavik,CA,68.2191,-135.0107,-13.0,76,100,4.61,overcast clouds
153,Mackay,AU,-21.15,149.2,69.8,83,90,12.66,overcast clouds
154,Tanete,ID,-3.9443,119.7848,74.39,90,100,3.47,overcast clouds
155,Cidreira,BR,-30.1811,-50.2056,69.1,84,86,11.61,overcast clouds
156,Sinnamary,GF,5.3833,-52.95,75.16,94,100,8.32,overcast clouds
157,Khatanga,RU,71.9667,102.5,-32.44,98,5,4.83,clear sky
158,Tuatapere,NZ,-46.1333,167.6833,44.01,87,100,4.0,overcast clouds
159,Tombouctou,ML,20.0,-3.0,88.2,7,72,10.94,broken clouds
160,Grand-Lahou,CI,5.1367,-5.0242,80.31,85,89,7.47,overcast clouds
161,Sorland,NO,67.667,12.6934,33.8,80,75,19.57,sleet
162,Miami,US,25.7743,-80.1937,78.01,41,75,16.11,broken clouds
163,Aswan,EG,24.0934,32.907,67.21,17,0,12.35,clear sky
164,Ruteng,ID,-8.6136,120.4721,62.71,95,100,2.57,overcast clouds
165,Fortuna,US,40.5982,-124.1573,51.8,82,20,8.05,few clouds
166,Yerbogachen,RU,61.2767,108.0108,12.65,95,100,7.72,light snow
167,Eureka,US,40.8021,-124.1637,51.8,87,90,4.61,overcast clouds
168,Belyy Yar,RU,53.6039,91.3903,35.6,38,0,13.42,clear sky
169,Tukums,LV,56.9669,23.1553,39.2,65,75,5.75,broken clouds
170,Lebu,CL,-37.6167,-73.65,59.22,79,1,15.73,clear sky
171,Pirgos,GR,35.1167,25.7178,57.99,77,11,5.55,few clouds
172,Maruko,JP,36.3167,138.2667,54.0,88,35,1.01,scattered clouds
173,Sakakah,SA,29.9697,40.2064,64.4,20,0,12.66,dust
174,Uyuni,BO,-20.4597,-66.825,60.46,14,95,10.31,overcast clouds
175,Sarkikaraagac,TR,38.0794,31.3664,40.84,73,11,4.27,few clouds
176,Jamestown,US,42.097,-79.2353,33.01,37,1,21.85,clear sky
177,Umm Kaddadah,SD,13.6017,26.6876,75.99,13,14,12.12,few clouds
178,Alofi,NU,-19.0595,-169.9187,69.8,100,32,2.3,scattered clouds
179,Narsaq,GL,60.9167,-46.05,41.0,65,75,4.61,broken clouds
180,Camacha,PT,33.0833,-16.3333,62.6,72,75,10.36,broken clouds
181,Lamar,US,33.6668,-95.5836,64.0,31,1,12.66,clear sky
182,Kodiak,US,57.79,-152.4072,33.8,29,40,9.22,scattered clouds
183,Esperance,AU,-33.8667,121.9,64.4,94,90,10.36,overcast clouds
184,Takoradi,GH,4.8845,-1.7554,80.96,84,29,8.21,scattered clouds
185,Champerico,GT,14.3,-91.9167,93.2,43,40,9.22,scattered clouds
186,Brae,GB,60.3964,-1.353,41.0,65,40,14.97,scattered clouds
187,Gumla,IN,23.05,84.55,73.22,7,0,4.45,clear sky
188,Sao Filipe,CV,14.8961,-24.4956,75.54,64,5,9.93,clear sky
189,Batagay,RU,67.6333,134.6333,0.82,96,100,4.85,overcast clouds
190,Ancud,CL,-41.8697,-73.8203,62.01,77,90,4.61,overcast clouds
191,College,US,64.8569,-147.8028,3.99,71,90,2.26,light snow
192,Severo-Yeniseyskiy,RU,60.3725,93.0408,24.03,92,100,10.49,overcast clouds
193,Oranjemund,NA,-28.55,16.4333,61.07,86,100,12.26,overcast clouds
194,Kapoeta,SS,4.7717,33.5903,84.06,43,67,4.81,broken clouds
195,Vestmanna,FO,62.1564,-7.1664,42.8,87,90,11.5,overcast clouds
196,Pangnirtung,CA,66.1451,-65.7125,-13.0,58,1,3.44,clear sky
197,Coquimbo,CL,-29.9533,-71.3436,64.4,68,20,11.5,few clouds
198,Najran,SA,17.4924,44.1277,80.6,16,0,6.91,clear sky
199,Chiredzi,ZW,-21.05,31.6667,70.11,55,0,4.27,clear sky
200,Pevek,RU,69.7008,170.3133,-19.41,95,9,3.2,clear sky
201,Padang,ID,-0.9492,100.3543,78.8,73,90,3.44,overcast clouds
202,Nguru,NG,12.8791,10.4526,81.84,8,9,10.47,clear sky
203,Madona,LV,56.8533,26.217,32.23,88,97,4.72,overcast clouds
204,Nago,JP,26.5881,127.9761,69.8,94,40,4.72,mist
205,Fare,PF,-16.7,-151.0167,81.52,70,0,1.83,clear sky
206,Golubitskaya,RU,45.3222,37.2822,46.4,76,0,11.18,clear sky
207,Ust-Shonosha,RU,61.1531,41.343,27.99,98,93,1.81,overcast clouds
208,Black River,JM,18.0264,-77.8487,82.99,74,20,8.05,few clouds
209,Bengkulu,ID,-3.8004,102.2655,76.39,87,95,8.79,overcast clouds
210,Anadyr,RU,64.75,177.4833,5.0,85,90,24.61,snow
211,Sisimiut,GL,66.9395,-53.6735,13.46,72,100,5.39,overcast clouds
212,Salta,AR,-24.7859,-65.4117,69.8,60,75,9.22,broken clouds
213,Bouna,CI,9.2667,-3.0,89.37,17,11,4.21,few clouds
214,Methoni,GR,36.8197,21.7049,55.4,76,66,3.44,broken clouds
215,Dodoma,TZ,-6.1722,35.7395,73.4,68,20,11.5,few clouds
216,Sucre,BO,-19.0333,-65.2627,62.22,57,78,8.55,broken clouds
217,Pervomayskiy,RU,53.2485,40.2871,35.01,81,100,9.26,snow
218,Basco,PH,20.4487,121.9702,79.45,78,67,10.49,broken clouds
219,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,40,16.11,scattered clouds
220,Kruisfontein,ZA,-34.0033,24.7314,59.0,90,0,1.01,clear sky
221,Yumen,CN,40.2833,97.2,42.28,21,100,18.79,overcast clouds
222,Curuca,BR,-0.7289,-47.8481,82.38,79,27,4.72,scattered clouds
223,Saint-Francois,FR,46.4154,3.9054,57.2,44,0,10.36,clear sky
224,Port Hardy,CA,50.6996,-127.4199,42.8,81,90,5.75,light rain
225,Hegra,NO,63.4644,11.114,36.0,80,75,10.36,light snow
226,Lavumisa,SZ,-27.31,31.892,70.18,77,0,2.98,clear sky
227,Marevo,RU,57.3146,32.0804,31.8,89,22,3.13,few clouds
228,Awbari,LY,26.5921,12.7805,71.17,17,0,9.86,clear sky
229,Keuruu,FI,62.2667,24.7,37.0,80,75,6.91,broken clouds
230,Iqaluit,CA,63.7506,-68.5145,-7.01,59,20,3.44,few clouds
231,Ponta Delgada,PT,37.7333,-25.6667,62.6,88,40,16.11,scattered clouds
